tv_title,release_year,Imdb_rating,age_rating,stream_provider,runtime,genre_list,tv_prod_country,tv_show_url
Creature Commandos,2024,7.8,Age rating not found,"jiocinema, amazonprimevideo",23min,"Animation, Science-Fiction, Action & Adventure, War & Military, Fantasy, Horror",United States,https://www.justwatch.com/in/tv-show/creature-commandos
Superman & Lois,2021,7.8,Age rating not found,"amazonprimevideo, amazonprimevideo, amazonprimevideo",42min,"Drama, Science-Fiction, Action & Adventure",United States,https://www.justwatch.com/in/tv-show/superman-and-lois
Breaking Bad,2008,9.5,A,"netflix, amazonprimevideo",47min,"Drama, Crime, Mystery & Thriller",United States,https://www.justwatch.com/in/tv-show/breaking-bad
The Boys,2019,8.7,A,"amazonprimevideo, amazonprimevideo, amazonprimevideo",1h 1min,"Action & Adventure, Science-Fiction, Comedy, Crime, Drama",United States,https://www.justwatch.com/in/tv-show/the-boys
La Brea,2021,5.8,Age rating not found,"jiocinema, netflix, amazonprimevideo",42min,"Drama, Science-Fiction, Action & Adventure",United States,https://www.justwatch.com/in/tv-show/la-brea
Panchayat,2020,9.0,Age rating not found,"amazonprimevideo, amazonprimevideo, amazonprimevideo",35min,"Drama, Comedy",India,https://www.justwatch.com/in/tv-show/panchayat
Squid Game,2021,8.0,A,"netflix, amazonprimevideo",55min,"Drama, Action & Adventure, Mystery & Thriller",South Korea,https://www.justwatch.com/in/tv-show/squid-game
House of the Dragon,2022,8.3,A,"jiocinema, amazonprimevideo",1h 2min,"Science-Fiction, Drama, Action & Adventure, Fantasy, Romance",United States,https://www.justwatch.com/in/tv-show/house-of-the-dragon
Mandaar,2021,NA,Age rating not found,"hoichoi, amazonhoichoi, amazonprimevideo, hoichoi",44min,Drama,India,https://www.justwatch.com/in/tv-show/mandaar
Mrs. Fletcher,2019,7.1,Age rating not found,amazonprimevideo,34min,"Comedy, Drama",United States,https://www.justwatch.com/in/tv-show/mrs-fletcher
Lioness,2023,7.7,Age rating not found,amazonprimevideo,46min,"Drama, War & Military, Action & Adventure, Mystery & Thriller",United States,https://www.justwatch.com/in/tv-show/special-ops-lioness
The Madness,2024,6.4,Age rating not found,"netflix, amazonprimevideo",49min,"Drama, Action & Adventure, Mystery & Thriller, Crime",United States,https://www.justwatch.com/in/tv-show/the-madness
Landman,2024,8.3,Age rating not found,amazonprimevideo,50min,Drama,United States,https://www.justwatch.com/in/tv-show/landman
